Ambient Temperature,Ambient Relative Humidity,Ambient Pressure,Exhaust Vacuum,Total Power,Fuel_Consumption_MMBtu
20.955,73.79917,798.8753,3.0002480000000005,248.475,2112.0375
20.839,74.62282,798.97217,3.0002480000000005,247.775,2106.0875
27.06,75.17699,799.24286,3.0002480000000005,245.09,2083.265
20.694,75.67771,799.62384,3.0002480000000005,248.302,2110.567
20.55,75.85151,799.81744,3.0002480000000005,247.743,2105.8155
20.55,76.2738,799.88293,3.0002480000000005,248.32300000000004,2110.7455000000004
20.55,76.63556,799.92126,3.0002480000000005,248.08300000000003,2108.7055
20.897,76.88057,799.62494,3.0002480000000005,248.293,2110.4905
21.042,76.62479,799.45435,3.0002480000000005,247.438,2103.223
20.55,75.69468,799.372,3.0002480000000005,243.329,2068.2965
20.55,76.035904,799.4832,3.0002480000000005,247.501,2103.7585
20.694,76.89964,799.5281,3.0002480000000005,244.813,2080.9105
20.752,76.47826,799.484,3.0002480000000005,242.17,2058.445
20.897,77.07846,799.39594,3.0002480000000005,245.255,2084.6675
20.752,76.485176,799.5387,3.0002480000000005,245.50300000000004,2086.7755000000006
20.405,76.5305,799.5995,3.0002480000000005,247.671,2105.2035
20.521,77.1994,799.5245,3.0002480000000005,244.267,2076.2695
20.492,77.478615,799.3882,3.0002480000000005,247.814,2106.419
20.347,77.4113,799.4479,3.0002480000000005,247.617,2104.7445
20.203,77.6771,799.4064,3.0002480000000005,247.319,2102.2115
19.884,77.966995,799.4317,3.0002480000000005,244.469,2077.9865
19.682,78.39789,799.46326,3.0002480000000005,247.526,2103.971
19.537,78.88893,799.45087,3.0002480000000005,242.373,2060.1705
19.537,79.48246,799.4746,3.0002480000000005,247.068,2100.078
19.392,79.677704,799.40485,3.0002480000000005,247.301,2102.0585
19.392,80.055534,799.39014,3.0002480000000005,245.316,2085.186
19.248,80.30513,799.0103,3.0002480000000005,240.927,2047.8795
19.248,80.50556,799.0845,3.0002480000000005,246.548,2095.658
19.363,80.6326,798.9736,3.0002480000000005,247.579,2104.4215
19.479,80.63483,799.0295,3.0002480000000005,246.728,2097.188
19.479,80.35932,798.93604,3.0002480000000005,241.277,2050.8545
19.479,80.123245,799.00775,3.0002480000000005,245.64,2087.94
19.595,79.89599,799.0979,3.0002480000000005,246.519,2095.4115
19.884,79.60162,799.08075,3.0002480000000005,245.152,2083.792
20.318,79.38678,799.0078,3.0002480000000005,241.55,2053.175
20.637,78.94565,799.0544,3.0002480000000005,247.115,2100.4775
21.215,78.37143,799.08014,3.0002480000000005,245.897,2090.1245
21.823,77.37738,799.08655,3.0002480000000005,244.27000000000004,2076.295
22.662,76.00906,799.00323,3.0002480000000005,241.159,2049.8515
22.98,73.455734,799.06213,3.0002480000000005,252.735,2148.2475
23.733,70.50993,799.1913,3.0002480000000005,249.18,2118.03
24.456,67.238075,799.12555,3.0002480000000005,246.257,2093.1845
25.122,64.24584,799.08154,3.0002480000000005,249.723,2122.6455
25.035,61.252804,799.14185,3.0002480000000005,249.882,2123.997
25.527,58.865585,799.0973,3.0002480000000005,250.329,2127.7965
25.816,56.818848,799.1471,3.0002480000000005,246.951,2099.0835
26.134,54.930977,799.3027,3.0002480000000005,245.038,2082.823
25.613,52.90257,799.11444,3.0002480000000005,246.238,2093.023
26.134,51.336178,799.2042,3.0002480000000005,250.943,2133.0155
27.118,42.875412,799.17926,3.0002480000000005,244.83,2081.055
20.694,43.850895,799.2068,3.0002480000000005,247.872,2106.912
26.684,45.971493,799.1693,3.0002480000000005,248.812,2114.902
26.684,44.68033,799.1467,3.0002480000000005,246.345,2093.9325
26.829,41.09332,799.1717,3.0002480000000005,247.982,2107.847
27.494,40.55749,799.22235,3.0002480000000005,245.627,2087.8295
27.697,39.64043,799.1956,3.0002480000000005,244.344,2076.924
28.507,37.768147,799.2241,3.0002480000000005,247.613,2104.7105
28.42,36.413013,799.1724,3.0002480000000005,247.06600000000003,2100.0610000000006
27.147,37.272186,799.0958,3.0002480000000005,251.067,2134.0695
27.321,40.60292,799.18024,3.0002480000000005,256.344,2178.924
27.407,43.293785,799.15594,3.0002480000000005,246.632,2096.372
27.031,45.924522,799.19586,3.0002480000000005,248.953,2116.1005
27.06,47.59953,799.18274,3.0002480000000005,246.657,2096.5845
26.742,50.003468,799.15564,3.0002480000000005,254.353,2162.0005
26.539,50.946865,799.1002,3.0002480000000005,253.859,2157.8015
25.99,51.35701,799.17786,3.0002480000000005,255.347,2170.4495
25.99,52.80014,799.1721,3.0002480000000005,249.794,2123.249
25.729,53.73178,799.2031,3.0002480000000005,255.747,2173.8495
25.266,54.262333,799.1585,3.0002480000000005,250.745,2131.3325
25.035,55.357426,799.1438,3.0002480000000005,242.194,2058.649
24.601,56.161243,799.22437,3.0002480000000005,253.35,2153.475
24.398,57.038364,799.1906,3.0002480000000005,297.394,2527.849
24.167,57.653008,799.53644,3.0002480000000005,351.256,2985.6759999999995
23.964,58.197918,799.50977,3.0002480000000005,335.257,2849.6845
23.964,58.6324,799.52313,3.0002480000000005,348.563,2962.7855
23.964,58.567368,799.50385,3.0002480000000005,350.69800000000004,2980.9330000000004
23.733,58.86865,799.56726,3.0002480000000005,338.355,2876.0175
23.588,59.30385,799.6008,3.0002480000000005,342.49800000000005,2911.2330000000006
23.414,59.799625,799.578,3.0002480000000005,335.889,2855.0565
23.27,60.495613,799.48413,3.0002480000000005,343.63800000000003,2920.9230000000007
22.98,60.940536,799.56146,3.0002480000000005,342.528,2911.488
22.98,61.65514,799.63806,3.0002480000000005,339.64000000000004,2886.9400000000005
22.865,62.0196,799.5459,3.0002480000000005,352.42600000000004,2995.6210000000005
22.72,62.087643,799.4948,3.0002480000000005,350.559,2979.7515
22.517,62.495518,799.56573,3.0002480000000005,353.766,3007.011
22.517,63.11072,799.53754,3.0002480000000005,350.7,2980.95
22.286,63.529068,799.38324,3.0002480000000005,354.381,3012.2384999999995
22.112,64.03351,799.2787,3.0002480000000005,351.927,2991.3795
22.112,64.73083,799.3016,3.0002480000000005,350.129,2976.0965
22.112,64.94847,799.2989,3.0002480000000005,341.616,2903.736
21.968,64.98899,799.24677,3.0002480000000005,350.684,2980.814
22.141,65.34521,799.1972,3.0002480000000005,350.468,2978.978
22.141,65.50018,799.26917,3.0002480000000005,355.312,3020.152
21.997,65.437256,799.4205,3.0002480000000005,356.095,3026.8075
21.852,65.5572,799.2477,3.0002480000000005,355.129,3018.5965
21.852,65.82568,799.2477,3.0002480000000005,355.12,3018.52
21.707,65.979546,799.11206,3.0002480000000005,354.879,3016.4715
21.707,66.139595,799.2532,3.0002480000000005,355.382,3020.747
26.568,66.35328,799.2419,3.7503100000000007,347.399,2952.8915
21.563,66.40544,799.1421,3.0002480000000005,351.861,2990.8185
21.418,66.62883,799.08826,3.0002480000000005,354.577,3013.9045
21.273,66.81804,799.267,3.0002480000000005,351.733,2989.7305
21.128,66.991,799.32007,3.0002480000000005,354.372,3012.162
21.128,67.08717,799.29193,3.0002480000000005,347.15700000000004,2950.8345000000004
20.984,67.19581,799.37616,3.0002480000000005,344.401,2927.4085
20.984,67.23058,799.3053,3.0002480000000005,354.576,3013.896
20.984,67.32901,799.55225,3.0002480000000005,354.468,3012.978
20.839,67.32875,799.3262,3.0002480000000005,350.653,2980.5505
20.839,67.41921,799.4089,3.0002480000000005,347.072,2950.112
20.694,67.46319,799.40845,3.0002480000000005,348.037,2958.3145
20.694,67.51654,799.59296,3.0002480000000005,350.383,2978.2555
20.55,67.53893,799.4465,3.0002480000000005,354.576,3013.896
20.55,67.703606,799.3098,3.0002480000000005,290.233,2466.9805
20.666,67.74749,799.405,3.0002480000000005,229.675,1952.2375
20.55,67.62881,799.4363,3.0002480000000005,205.167,1743.9195
20.405,67.65367,799.26874,3.0002480000000005,204.989,1742.4065
20.231,67.689865,799.3594,3.0002480000000005,205.774,1749.079
20.116,67.7077,799.4405,3.0002480000000005,204.924,1741.854
19.942,67.9876,799.47455,3.0002480000000005,205.294,1744.999
19.363,68.073875,799.3117,3.0002480000000005,204.344,1736.924
18.958,68.43896,799.2874,3.0002480000000005,203.848,1732.708
18.958,69.082695,799.33636,3.0002480000000005,204.607,1739.1595
19.103,69.58441,799.2631,3.0002480000000005,204.438,1737.723
19.103,69.77137,799.0558,3.0002480000000005,204.254,1736.159
19.45,69.888084,798.7652,3.0002480000000005,205.095,1743.3075
19.103,69.477875,798.8414,3.0002480000000005,204.425,1737.6125
18.929,69.61307,798.8148,3.0002480000000005,204.188,1735.598
18.929,69.85327,798.7628,3.0002480000000005,204.145,1735.2325
19.306,69.99228,798.8031,3.0002480000000005,204.948,1742.058
19.595,69.8554,798.83844,3.0002480000000005,205.026,1742.721
20.203,69.59841,798.86414,3.0002480000000005,206.618,1756.253
20.637,68.83617,798.8121,3.0002480000000005,205.572,1747.362
21.215,68.00513,798.8182,3.0002480000000005,205.681,1748.2885
21.852,66.936264,798.85626,3.0002480000000005,206.471,1755.0035
22.344,65.36704,799.0254,3.0002480000000005,207.14,1760.69
22.691,61.842476,798.8014,3.0002480000000005,207.021,1759.6785
23.212,56.77763,798.1448,3.0002480000000005,228.054,1938.459
23.848,54.063053,798.0419,3.0002480000000005,289.83,2463.555
24.311,49.819237,798.044,3.0002480000000005,348.609,2963.1765
24.456,47.99559,798.09875,3.0002480000000005,344.521,2928.4285
25.035,46.938354,798.0141,3.0002480000000005,347.817,2956.4445
25.671,45.165844,798.0889,3.0002480000000005,345.636,2937.906
25.324,43.848682,798.044,3.0002480000000005,349.014,2966.619
25.237,43.783085,798.0616,3.0002480000000005,348.755,2964.4175
25.7,43.829372,798.06415,3.7503100000000007,348.568,2962.828
25.527,42.99655,798.07385,3.7503100000000007,344.758,2930.443
21.563,42.228218,798.1222,3.0002480000000005,354.998,3017.483
25.903,41.149746,798.00757,3.7503100000000007,343.92499999999995,2923.3624999999997
25.556,42.726425,798.03625,3.7503100000000007,343.54999999999995,2920.1749999999997
26.337,41.185375,798.06177,3.7503100000000007,343.832,2922.572
27.205,39.808556,798.044,3.7503100000000007,342.28700000000003,2909.4395000000004
27.494,38.98963,798.08026,3.7503100000000007,347.41,2952.985
26.858,38.38387,798.0229,3.7503100000000007,341.939,2906.4815
